Table Name: processingRoutes Object Fields
Field,Type,Definition
transactionDescription,String,Describes the HIPAA transaction type
submissionMode,String,Method of submission (Portal, Batch, RealTime, API)
effectiveDate,String,The date the transaction became available
availability,Boolean,Indicates whether the transaction is available
enrollmentRequired,Boolean,Indicates whether enrollment with Availity is required
enrollmentMode,String,Type of enrollment required with Availity
additionalInfo,String,Provides additional information about the transaction
rebateTier,String,The processing route's cost tier
passThroughRate,String,The processing route's pass-through rate
newTierNotice,String,Provides notice of an upcoming tier change
gateway,String,Availity gateway designation for payer/route
recentlyAdded,String,The date the route was added
