Table Name: Coverages API - POST Parameters
Field,Type,Definition
payerId,Query string (optional),The Availity-specific identifier for the patient's health plan
providerLastName,Query string (optional),The requesting provider's last name
providerFirstName,Query string (optional),The requesting provider's first name
providerType,Query string (optional),Professional or institutional designation
providerNpi,Query string (optional),The requesting provider's National Provider Identifier
providerTaxId,Query string (optional),The requesting provider's tax ID
payerAssignedProviderId,Query string (optional),Payer-assigned provider identifier
providerSSN,Query string (optional),The requesting provider's Social Security Number
providerPIN,Query string (optional),Provider personal identification number
providerCity,Query string (optional),Requesting provider's city
providerState,Query string (optional),Two-character state code
providerZipCode,Query string (optional),The requesting provider's ZIP code
providerSpecialty,Query string (optional),Provider specialty using taxonomy code
placeOfService,Query string (optional),Place of service identifier
submitterId,Query string (optional),Payer-assigned submitter identifier
asOfDate,Query string (optional),The date of service for which you want to check coverage
toDate,Query string (optional),End date for coverage search period
serviceType,Query string (optional),The type or types of service your request involves
cardIssueDate,Query string (optional),The issue date of the member's health plan card
procedureCode,Query string (optional),Procedure code for coverage requested
memberId,Query string (optional),The patient's health plan member ID number
medicaidId,Query string (optional),The patient's Medicaid ID number
patientSSN,Query string (optional),The patient's Social Security Number
patientLastName,Query string (optional),The patient's last name
patientFirstName,Query string (optional),The patient's first name
patientMiddleName,Query string (optional),The patient's middle name
patientSuffix,Query string (optional),The patient's suffix
patientGender,Query string (optional),The patient's gender
patientBirthDate,Query string (date) (optional),The patient's date of birth
patientState,Query string (optional),Two-character state abbreviation
groupNumber,Query string (optional),The patient's health plan group number
subscriberRelationship,Query string (optional),Patient relationship to subscriber
