Table Name: Coverages Response - Fields Within coverages
Field,Type,Definition
id,String,The unique response ID from the initial polling request
customerId,String,The unique number Availity uses to identify an organization
createdDate,String (date-time),The time and date the coverage was added
updatedDate,String (date-time),The time and date the coverage was last updated
expirationDate,String (date-time),The time and date this coverage will expire
controlNumber,String,An Availity-assigned tracking number
submitterStateCode,String,The submitting customer's configured state code
status,String,The current status of the coverage request
statusCode,String,The code for the current status
asOfDate,String (date-time),The date for which the patient's coverage information
toDate,String (date-time),The end date for the coverage information search
cardIssueDate,String (date-time),The patient's health plan member card issue date
payer,Object,Information about health plan
requestingProvider,Object,Identifying information about requesting provider
patient,Object,Demographic information about the patient
subscriber,Object,Demographic information about the health plan subscriber
plans,Array,Array listing information about all health plans
requestedServiceType,Array,Array listing requested service types
procedureCode,Array,Array listing requested procedure codes
validationMessages,Array,A list of validation messages from the payer
