Table Name: Plans Array Fields
Field,Type,Definition
status,String,The patient's coverage status
statusCode,String,The code for the coverage status
identityCardNumber,String,Additional identifying card number
groupNumber,String,The patient's health plan group number
groupName,String,The patient's health plan group name
description,String,Plan description
coverageSummaryAdditionalPayers,Array,Additional payer information objects
eligibilityStartDate,String (date-time),Date the patient's eligibility for benefits began/will begin
eligibilityEndDate,String (date-time),Date the patient's eligibility for benefits ended/will end
coverageStartDate,String (date-time),The date coverage began/will begin
coverageEndDate,String (date-time),The date coverage ended/will end
insuranceType,String,The patient's type of insurance
insuranceTypeCode,String,Code for the insurance type
primaryCareProvider,Object,Primary care provider information
