Table Name: coverage.plans.benefits Fields
Field,Type,Definition
name,String,The name of the benefit
type,String,Type of benefit
source,String,The source of the procedure benefit
status,String,The status of coverage for this benefit
statusCode,String,The status code of the coverage for this benefit
statusDetails,Object,Benefit detail information
amounts,Object,Information about amounts involved in this benefit
limitations,Object,Eligibility/benefit limitations
benefitDescriptions,Object,A description of benefits
nonCovered,Object,Non-covered services information
coverageBasis,Object,Coverage basis information
reserve,Object,Reserve information
preexistingConditions,Object,Preexisting condition information
costContainment,Object,Cost containment information
exclusions,Object,Exclusions information
additionalPayers,Array,Additional payer information
contacts,Array,Benefit contact information
payerNotes,Array,Payer notes/disclaimers
