Table Name: plans.benefits.benefitDetail.networkBenefit Fields
Field,Type,Definition
status,String,Benefit status
statusCode,String,The code for the coverage status
insuranceType,String,The patient's type of insurance
insuranceTypeCode,String,Code for the insurance type
amount,String,Benefit amount
units,String,Benefit units
amountTimePeriod,String,The time period this benefit applies to
amountTimePeriodCode,String,Time period code
remaining,String,The remaining amount
remainingTimePeriod,String,The time period that the remaining benefit applies to
remainingTimePeriodCode,String,Remaining time period code
total,String,Total amount
totalTimePeriod,String,Total time period
totalTimePeriodCode,String,Total time period code
level,String,Benefit level
levelCode,String,Level code
quantity,String,Quantity
quantityQualifier,String,Quantity qualifier description
quantityQualifierCode,String,Quantity qualifier code
authorizationRequired,Boolean,Indicates whether the provider is required to obtain authorization
authorizationRequiredUnknown,Boolean,Indicates if it is unknown whether the provider is required
placeOfService,String,Description of the place of service
placeOfServiceCode,String,Code for the place of service
description,String,Benefit description
planNumber,String,The plan number
planName,String,The plan name
policyNumber,String,The plan network ID
memberIdentificationNumber,String,The member ID number
familyUnitNumber,String,NCPDP family unit number
groupNumber,String,The patient's health plan group number
groupName,String,The patient's health plan group name
referralNumber,String,Referral approval number/code
healthInsuranceClaimNumber,String,Medicare beneficiary ID number
priorAuthorizationNumber,String,Number that indicates the services on this claim have been authorized
insurancePolicyNumber,String,The health insurance policy number
planNetworkId,String,The insured person's plan network ID
planNetworkName,String,The insured person's member ID number
medicaidRecipientIdentificationNumber,String,The patient's Medicaid Recipient ID number
dischargeDate,String,Discharge date
periodStartDate,String,Period start date
periodEndDate,String,Period end date
completionDate,String,Completion date
coordinationOfBenefitsDate,String,COB date
coordinationOfBenefitsBeginDate,String,COB begin date
coordinationOfBenefitsEndDate,String,COB end date
coverageStartDate,String,Coverage start date
coverageEndDate,String,Coverage end date
addedDate,String,Date added
planStartDate,String,Plan start date
primaryCareProviderDate,String,PCP date
lastVisitDate,String,Last visit date
eligibilityStartDate,String,Eligibility start date
eligibilityEndDate,String,Eligibility end date
benefitBeginDate,String,Benefit start date
benefitEndDate,String,Benefit end date
admissionDate,String,Admission date
serviceDate,String,Service date
lastUpdateDate,String,Last update date
statusDate,String,Status date
contacts,Array,Benefit contact information
payerNotes,Array,General disclaimers and messages from the health plan
deliveryInformation,Array,Service delivery information
