Table Name: coverage.supplementalInformation Fields
Field,Type,Definition
professionalPatientCostEstimator,Boolean,Indicates whether the Professional Patient Cost Estimator is available
institutionalPatientCostEstimator,Boolean,Indicates whether the Institutional Patient Cost Estimator is available
patientCareSummary,Boolean,Indicates whether the patient care summary is available
patientCareSummaryReason,String,Reason for patient care summary availability
patientCareSummaryReasonCode,String,Code for patient care summary reason
assessmentCarePlan,Boolean,Indicates whether an assessment and care plan are available
thirdPartySystemId,String,Third party system ID
routingCode,String,Routing code
outOfArea,Boolean,Flag used by certain payers to indicate out of area
clickToTalkPhoneNumber,String,Click-to-talk phone number
clickToTalkKey,String,Click-to-talk key
localMemberId,String,Local member ID for third-party exchanges
pceMemberLocatorKey,String,Local member key for patient cost estimator
pceHostIndicator,Boolean,Host plan indicator for patient cost estimator
referralShortFormIndicator,Boolean,Referral short form indicator
viewReferralAuthIndicator,Boolean,View all authorizations/referrals indicator
csnpIndicator,Boolean,Indicates whether a C-SNP form is available
requestLtssccAmount,Boolean,Indicates whether to initiate a request to LTSSCC
pregnant,Boolean,Indicates whether the Patient Assessment (Maternity) form exists
pharmacyRestrictions,Object,Pharmacy restrictions information
erReferralCompleted,Boolean,Indicates whether the ER Referral Questionnaire was completed
