Table Name: Service Reviews - Demo Scenarios
Response Scenario ID,Method,Status Code,Definition
SR-CreateRequestAccepted-i,POST,202,Availity is in the process of sending the member's service review information
SR-DeleteRequestAccepted-i,DELETE,202,Availity is processing your delete request
SR-CreateRequestError-i,POST,400,Your request failed Availity's input validation rules
SR-DeleteRequestError-i,DELETE,400,Your request failed Availity's delete validation rules
SR-GetComplete-i,GET (id: 12345678),200,Availity has successfully retrieved the member's service review information
SR-GetInProgress-i,GET (id: 12345678),202,Availity is processing your request
SR-GetPayerDown-i,GET (id: 12345678),504,Availity did not receive a response from the health plan
SR-UpdateRequestAccepted-i,PUT,202,Availity is currently processing your request
SR-UpdateRequestError-i,PUT,400,Your request failed Availity's input validation rules
SR-GetPayerError-i,GET,400,The health plan indicated an error in the request
SR-GetRetrying-i,GET (id: 12345678),202,The health plan did not respond and Availity is retrying
SRI-GetAccepted-i,GET,202,Availity is processing your request
SRI-GetComplete-i,GET,200,Availity has successfully retrieved the member's service review information
SRI-GetInProgress-i,GET,202,Availity is processing your request
SRI-GetPayerError-i,GET,400,The health plan indicated an error in the request
SRI-GetPayerDown-i,GET,504,Availity did not receive a response from the health plan
SRI-GetRetrying-i,GET (id: 12345678),202,The health plan did not respond and Availity is retrying
SRI-GetRequestError-i,GET,400,The health plan indicated an error in the request
